"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Improving perception to make distant connections closer.","https://scispace.com/paper/improving-perception-to-make-distant-connections-closer-4tvopw554c","2011","Journal Article","Frontiers in Psychology","Robert L. Goldstone
David Landy
Lionel Brunel","10.3389/FPSYG.2011.00385","","One of the challenges for perceptually grounded accounts of high-level cognition is to explain how people make connections and draw inferences between situations that superficially have little in common. Evidence suggests that people draw these connections even without having explicit, verbalizable knowledge of their bases. Instead, the connections are based on sub-symbolic representations that are grounded in perception, action, and space. One reason why people are able to spontaneously see relations between situations that initially appear to be unrelated is that their eventual perceptions are not restricted to initial appearances. Training and strategic deployment allow our perceptual processes to deliver outputs that would have otherwise required abstract or formal reasoning. Even without people having any privileged access to the internal operations of perceptual modules, these modules can be systematically altered so as to better serve our high-level reasoning needs. Moreover, perceptually based processes can be altered in a number of ways to closely approximate formally sanctioned computations. To be concrete about mechanisms of perceptual change, we present 21 illustrations of ways in which we alter, adjust, and augment our perceptual systems with the intention of having them better satisfy our needs.","21 illustrations of ways in which people alter, adjust, and augment their perceptual systems with the intention of having them better satisfy their needs are presented."
"Reversal of cubic and cylindric figures","https://scispace.com/paper/reversal-of-cubic-and-cylindric-figures-3gxa3id69u","2007","Book Chapter","","Jirina Radilova
Cloe Taddei-Ferretti
Carlo Musio
Silvia Santillo
Edoardo Cibelli
A. Cotugno
Tomáš Radil","10.1007/978-3-540-75555-5_14","","Spontaneous figure reversal of ambiguous patterns was analyzed in humans by presenting ""Necker-cube""-like, or ""drum""-like figures having square or round shaped ""front"" and ""rear"" surfaces, and either large or small ""depth"". The figures were perceived alternately according to one or the other of two possible mental orientation-interpretations. The subjects signalled the instant of subjective pattern-reversals. Results: perceptual intervals corresponding to both interpretations of ""drum"" were longer than those of ""cube""; the perceived ""depth"" of the figures was less relevant for reversal timing (""deeper"" figures reversed only slightly more slowly and the corresponding intervals were somewhat longer). Although the shape of ""front"" and ""rear"" surfaces was not a crucial geometrical feature for representing the three-dimensional nature of the patterns on the two-dimensional stimulus plane, it markedly influenced the timing of figure reversals. More, or longer information processing steps should needed for perceptual-cognitive representations of curvilinear patterns in comparison with rectangular ones.","Although the shape of ""front"" and ""rear"" surfaces was not a crucial geometrical feature for representing the three-dimensional nature of the patterns on the two-dimensional stimulus plane, it markedly influenced the timing of figure reversals."
"Perceptual Learning with Complex Objects: A Comparison between Full-Practice Training and Memory Reactivation.","https://scispace.com/paper/perceptual-learning-with-complex-objects-a-comparison-4vk8cdhhxb","2021","Journal Article","Journal of Vision","Chiu-Yueh Chen
Hans Op de Beeck","10.1523/ENEURO.0008-19.2021","","Perception improves with repeated exposure. Evidence has shown object recognition can be improved by training for multiple days in adults. Recently, a study of Amar-Halpert et al. (2017) has compared the learning effect of repetitive and brief, at-threshold training on a discrimination task and reported similar improvement in both groups. The finding is interpreted as evidence that memory reactivation benefits discrimination learning. This raises the question how this process might influence different perceptual tasks, including tasks with more complex visual stimuli. Here, this preregistered study investigates whether reactivation induces improvements in a visual object learning task that includes more complex visual stimuli. Participants were trained to recognize a set of objects during 5 d of training. After the initial training, a group was trained with repeated practice, the other a few near-threshold reactivation trials. In both groups, we found improved object recognition at brief exposure durations. Traditional intense training shows a daily improvement; however, the group with reactivation does not reach the same level of improvement. Our findings show that reactivation has a smaller effect relative to large amounts of practice.","In this paper, a pre-registered study investigates whether memory reactivation induces improvements in a visual object learning task that includes more complex visual stimuli and finds that reactivation has a smaller effect relative to large amounts of practice."
"Visual training improves perceptual grouping based on basic stimulus features","https://scispace.com/paper/visual-training-improves-perceptual-grouping-based-on-basic-153d1hn1rg","2017","Journal Article","Attention Perception & Psychophysics","Daniel D. Kurylo
Richard Waxman
Rachel Kidron
Steven M. Silverstein","10.3758/S13414-017-1368-8","","Training on visual tasks improves performance on basic and higher order visual capacities. Such improvement has been linked to changes in connectivity among mediating neurons. We investigated whether training effects occur for perceptual grouping. It was hypothesized that repeated engagement of integration mechanisms would enhance grouping processes. Thirty-six participants underwent 15 sessions of training on a visual discrimination task that required perceptual grouping. Participants viewed 20 × 20 arrays of dots or Gabor patches and indicated whether the array appeared grouped as vertical or horizontal lines. Across trials stimuli became progressively disorganized, contingent upon successful discrimination. Four visual dimensions were examined, in which grouping was based on similarity in luminance, color, orientation, and motion. Psychophysical thresholds of grouping were assessed before and after training. Results indicate that performance in all four dimensions improved with training. Training on a control condition, which paralleled the discrimination task but without a grouping component, produced no improvement. In addition, training on only the luminance and orientation dimensions improved performance for those conditions as well as for grouping by color, on which training had not occurred. However, improvement from partial training did not generalize to motion. Results demonstrate that a training protocol emphasizing stimulus integration enhanced perceptual grouping. Results suggest that neural mechanisms mediating grouping by common luminance and/or orientation contribute to those mediating grouping by color but do not share resources for grouping by common motion. Results are consistent with theories of perceptual learning emphasizing plasticity in early visual processing regions.","Results demonstrate that a training protocol emphasizing stimulus integration enhanced perceptual grouping and suggest that neural mechanisms mediating grouping by common luminance and/or orientation contribute to those mediating grouped by color but do not share resources for grouping bycommon motion."
"Perceptual learning and representational learning in humans and animals","https://scispace.com/paper/perceptual-learning-and-representational-learning-in-humans-3qp62sflph","2009","Journal Article","Learning & Behavior","József Fiser","10.3758/LB.37.2.141","","Traditionally, perceptual learning in humans and classical conditioning in animals have been considered as two very different research areas, with separate problems, paradigms, and explanations. However, a number of themes common to these fields of research emerge when they are approached from the more general concept of representational learning. To demonstrate this, I present results of several learning experiments with human adults and infants, exploring how internal representations of complex unknown visual patterns might emerge in the brain. I provide evidence that this learning cannot be captured fully by any simple pairwise associative learning scheme, but rather by a probabilistic inference process called Bayesian model averaging, in which the brain is assumed to formulate the most likely chunking/grouping of its previous experience into independent representational units. Such a generative model attempts to represent the entire world of stimuli with optimal ability to generalize to likely scenes in the future. I review the evidence showing that a similar philosophy and generative scheme of representation has successfully described a wide range of experimental data in the domain of classical conditioning in animals. These convergent findings suggest that statistical theories of representational learning might help to link human perceptual learning and animal classical conditioning results into a coherent framework.","Results of several learning experiments are presented, exploring how internal representations of complex unknown visual patterns might emerge in the brain, and evidence that this learning cannot be captured fully by any simple pairwise associative learning scheme is provided."
"Grouping in sparse random-dot patterns: linear and nonlinear mechanisms","https://scispace.com/paper/grouping-in-sparse-random-dot-patterns-linear-and-nonlinear-45zce5s6tt","1997","Proceedings Article","Human Vision and Electronic Imaging Conference","Ramanujan S. Kashi
Thomas V. Papathomas
Andrei Gorea","10.1117/12.274539","","This study reports on experiments conducted with human observers to investigate the properties of linear and non- linear, perceptual grouping mechanisms by using reverse- polarity sparse random-dot patterns. The stimuli were generated by spatially superimposing a sparse set of randomly distributed square elements onto a copy of the original set that was expanded or rotated about the center of the screen. In the control experiment both the original and transformed sets contained elements of identical luminance contrast with the background. The main experiments involved a reverse- contrast random-dot pattern, in which the transformed set consisted of elements of equal contrast magnitude but opposite polarity to that of the original set. At least two competing global percepts are possible: 'forward grouping' in which perceived grouping agrees with the physical transformation; or 'reverse grouping' in a direction orthogonal to that of the 'forward grouping.' The two-alternative forced-choice (2AFC) task was to report the direction of the global grouping. For the control experiment, the observers reported forward grouping both at the fovea and eccentricities of up to 4 degrees; as expected, no reverse grouping was observed. With the reverse-polarity stimulus, reverse grouping was observed at high eccentricities and low contrasts, but forward grouping dominated under foveal viewing. In another experiment, the influence of chromatic mechanisms was studied by using opposite-contrast red elements on a yellow background. In this experiment reverse grouping was not observed, which indicates that color mechanisms veto reverse grouping. Reverse grouping can be hypothesized to be the result of processing by linear oriented spatial mechanisms, in analogy with reverse-phi motion. Forward grouping, on the other hand, can be explained by non-linear preprocessing (such s squaring or full-wave rectification).","This study reports on experiments conducted with human observers to investigate the properties of linear and non- linear, perceptual grouping mechanisms by using reverse- polarity sparse random-dot patterns, finding that forward grouping dominated under foveal viewing, indicating that color mechanisms veto reverse grouping."
"Speed of perceptual grouping in acquired brain injury","https://scispace.com/paper/speed-of-perceptual-grouping-in-acquired-brain-injury-4qt6z84u05","2014","Journal Article","Experimental Brain Research","Daniel D. Kurylo
Gabriella Brick Larkin
Richard Waxman
Farhan Bukhari","10.1007/S00221-014-3970-5","","Evidence exists that damage to white matter connections may contribute to reduced speed of information processing in traumatic brain injury and stroke. Damage to such axonal projections suggests a particular vulnerability to functions requiring integration across cortical sites. To test this prediction, measurements were made of perceptual grouping, which requires integration of stimulus components. A group of traumatic brain injury and cerebral vascular accident patients and a group of age-matched healthy control subjects viewed arrays of dots and indicated the pattern into which stimuli were perceptually grouped. Psychophysical measurements were made of perceptual grouping as well as processing speed. The patient group showed elevated grouping thresholds as well as extended processing time. In addition, most patients showed progressive slowing of processing speed across levels of difficulty, suggesting reduced resources to accommodate increased demands on grouping. These results support the prediction that brain injury results in a particular vulnerability to functions requiring integration of information across the cortex, which may result from dysfunction of long-range axonal connection.","The prediction that brain injury results in a particular vulnerability to functions requiring integration of information across the cortex, which may result from dysfunction of long-range axonal connection, is supported."
"Going Beyond the Information Given: Seeing versus Seeing as","https://scispace.com/paper/going-beyond-the-information-given-seeing-versus-seeing-as-zsy9l52xq2","1997","Journal Article","Perception","M Usborne
B Lee","10.1068/V970365","","Variations in how we interpret ambiguous figures indicate that how a visual stimulus is perceived is determined by both its ‘objective’ visual pattern and the particular attitude we adopt towards it, ie what we see the stimulus as (Chambers and Reisberg, 1992 Cognitive Psychology 24 145 – 174). We report two experiments in which (i) ambiguous figures and (ii) natural scenes have been used to examine the relationship between how an image is perceived and what that image means to an observer. In experiment 1 we used ‘invertible figures’ (images which when inverted portray different objects) to test two groups, (i) upright, and (ii) inverted orientation, on a recognition task involving distorted versions of the original stimulus. We found systematic differences between the two groups such that the meaning attributed to the original image determined how it was remembered. In experiment 2 we asked how prior experience affects perception. We measured rock-climbers' and non-rock-climbers' thresholds for detecting (i) non-meaningful visual pattern changes (surface changes), and (ii) meaningful changes in terms of climber affordances (deep changes). We found that climbers had lower thresholds for detecting deep changes and higher thresholds for detecting surface changes, compared with non-climbers. In contrast with the explanation based on the incomplete mental image (Chambers and Reisberg, loc. cit.), we propose that such differences are due to differences in attitude adopted towards the original stimulus, and these in turn determine what types of change can be discerned. In other words, what is important is not what is seen but how it is seen.","In this paper, the authors report two experiments in which examine the relationship between how an image is perceived and what that image means to an observer and propose that such differences are due to differences in attitude adopted towards the original stimulus, and these in turn determine what types of change can be discerned."
"ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness","https://scispace.com/paper/imagenet-trained-cnns-are-biased-towards-texture-increasing-4am1ccygf3","2018","Proceedings Article","International Conference on Learning Representations","Robert Geirhos
Patricia Rubisch
Claudio Michaelis
Matthias Bethge
Felix A. Wichmann
Wieland Brendel","","","Convolutional Neural Networks (CNNs) are commonly thought to recognise objects by learning increasingly complex representations of object shapes. Some recent studies suggest a more important role of image textures. We here put these conflicting hypotheses to a quantitative test by evaluating CNNs and human observers on images with a texture-shape cue conflict. We show that ImageNet-trained CNNs are strongly biased towards recognising textures rather than shapes, which is in stark contrast to human behavioural evidence and reveals fundamentally different classification strategies. We then demonstrate that the same standard architecture (ResNet-50) that learns a texture-based representation on ImageNet is able to learn a shape-based representation instead when trained on ""Stylized-ImageNet"", a stylized version of ImageNet. This provides a much better fit for human behavioural performance in our well-controlled psychophysical lab setting (nine experiments totalling 48,560 psychophysical trials across 97 observers) and comes with a number of unexpected emergent benefits such as improved object detection performance and previously unseen robustness towards a wide range of image distortions, highlighting advantages of a shape-based representation.","In this paper, the same standard architecture that learns a texture-based representation on ImageNet is able to learn a shapebased representation instead when trained on ""Stylized-ImageNet"", a stylized version of ImageNet."
"Reversing how to think about ambiguous figure reversals: Spontaneous alternating by uninformed observers","https://scispace.com/paper/reversing-how-to-think-about-ambiguous-figure-reversals-178qg8i21i","2010","Journal Article","Journal of Vision","Stephen R. Mitroff
David M. Sobel
Alison Gopnik","10.1167/6.6.52","","Ambiguous figures are a special class of images that can give rise to multiple interpretations. Traditionally, switching between the possible interpretations of an ambiguous figure, or reversing one's interpretation, has been attributed either to top-down or to bottom-up processes (eg attributed to having knowledge of the nature of the ambiguity, or to a form of neuronal fatigue). Here we present evidence that is incompatible with both forms of explanations. Observers aged 5–9 years can reverse ambiguous figures when uninformed about the ambiguity, negating purely top-down explanations. Further, those children who make these ‘spontaneous’ reversals are more likely to succeed on a high-order theory-of-mind task, negating purely bottom-up explanations.","Evidence that observers aged 5-9 years can reverse ambiguous figures when uninformed about the ambiguity is presented, negating purely top-down explanations and those children who make these 'spontaneous' reversals are more likely to succeed on a high-order theory-of-mind task."
