"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Song Development: In Search of the Error-Signal","https://scispace.com/paper/song-development-in-search-of-the-error-signal-o3pmt6sr3b","2004","Journal Article","Annals of the New York Academy of Sciences","Sébastien Derégnaucourt
Partha P. Mitra
Olga Feher
Kristen K. Maul
Thierry Lints
Ofer Tchernichovski","10.1196/ANNALS.1298.036","","Song development provides an opportunity to study the mechanisms of vocal learning dynamically at molecular, cellular and systems levels, and across time scales ranging from minutes to months To exploit these opportunities one needs to identify appropriate units, types and time scales of vocal change in nearly real time The previous chapter by Tchernikovski et al in this volume described techniques that make this research strategy feasible by allowing us to observe the song learning process through a ""temporal microscope"" with variable degrees of resolution In this chapter we summarize some of the new observations and raise hypotheses about the learning strategy of the bird We focus on inferences that can be drawn from behavioral observations to the nature and complexity of the instructive signal that guides the vocal change (error-signal) We examine two effects: i) the emergence of syllable types and ii) changes in features within a syllable type We found that different features of the same syllable change during different and sometimes disjointed developmental windows We discuss the possibility that song imitation is achieved by correcting partial errors, and that features of those partial errors change adaptively during development, perhaps concurrently with changes in perception and in motor proficiency Those hypotheses can be best examined by across levels investigation, starting from identifying critical moments in song development and recording of articulatory dynamics and neural patterns when only a few features of specific syllables undergo rapid changes Such investigation could relate behavioral events to brain mechanisms that guide song learning from moment-to-moment and across extended periods","This chapter focuses on inferences that can be drawn from behavioral observations to the nature and complexity of the instructive signal that guides the vocal change (error‐signal), and examines two effects: the emergence of syllable types and changes in features within a syllable type."
"Functional connectivity strength within the auditory forebrain is altered by song learning and predicts song stereotypy in developing male zebra finches","https://scispace.com/paper/functional-connectivity-strength-within-the-auditory-4ax87usztz","2019","Posted Content","bioRxiv","Elliot A. Layden
Kathryn E. Schertz
Marc G. Berman
Sarah E. London","10.1101/657825","","Much as humans acquire speech in early childhood, the zebra finch (Taeniopygia guttata) songbird learns to sing from an adult “tutor” during the first three months of life. Within a well-defined critical period (CP), juvenile zebra finches memorize a tutor song that will guide subsequent motor patterning. This sensory learning process is mediated by tutor experience-dependent neuroplasticity within the auditory forebrain. Here, we used longitudinal resting-state fMRI analyses to investigate whether tutor experience also modifies patterns of functional connectivity (FC) within the juvenile zebra finch brain. Eighteen male zebra finches (only males sing) were scanned before, during, and at the end of the CP, as well as at the young adult stage. Prior to the onset of the CP, birds were separated into rearing conditions: Normal (aviary-housed; N=5), Tutored (one adult male tutor and one adult female; N=7), and Isolate (two adult females, isolated from male song; N=6). Brain-wide voxel-wise analyses identified a single cluster overlapping the left caudomedial nidopallium (NCM) of the auditory forebrain that showed developmentally decreasing FC strength in Isolates but stable or increasing FC in Normal and Tutored birds. Additionally, FC between left NCM and left dorsal cerebellum showed a parallel developmental difference. Developmental changes in left NCM FC strength statistically mediated condition-related differences in song stereotypy. These results extend previous reports of tutor experience-dependent plasticity in NCM at epigenetic, genomic, molecular, and cellular levels to the whole-brain functional network level by demonstrating that tutor experience also influences the development of NCM FC. Moreover, these results link NCM FC to the emergence of song stereotypy.","Previous reports of tutor experience-dependent plasticity in NCM at epigenetic, genomic, molecular, and cellular levels are extended to the whole-brain functional network level by demonstrating that tutor experience also influences the development of NCM FC."
"Unsupervised learning to quantify differences in song learning of experimental zebra finch populations","https://scispace.com/paper/unsupervised-learning-to-quantify-differences-in-song-3dwnlnf08t","2017","Dissertation","","Michaela Ennis","","","Zebra finch song learning is a common model of motor learning processes, but quantification of song properties is lacking, particularly for comparison of experimental populations across development. Sparse convolutional feature extraction, a method previously used to analyze other natural sounds, is applied to zebra finch song here. The results of feature extraction were used to develop metrics that were applied to zebra finch song from across both normal and isolate development. As expected, adult control song was substantially different from adult isolate song in all metrics. More interestingly, differences in some metrics were seen between the two as early in development as recordings were taken, suggesting that differences exist prior to obvious abnormalities appearing in the song spectrogram. Overall, these results provide interesting ideas about isolate song learning, and act as a proof of concept for the use of sparse convolutional learning to compare bird populations. Thesis Supervisor: Michale S. Fee Title: Glen and Phyllis Dorflinger Professor, Brain and Cognitive Sciences","Differences in some metrics were seen between the two adult control song was substantially different from adult isolate song in all metrics, suggesting that differences exist prior to obvious abnormalities appearing in the song spectrogram."
"Chapter 3 – Learning to sing","https://scispace.com/paper/chapter-3-learning-to-sing-1l3q6469e1","2004","Book Chapter","","Henrike Hultsch
Dietmar Todt","10.1016/B978-012473070-0/50006-2","","The development of singing in birds ranks as a prime biological model for understanding how nature and nurture interact, and how they jointly affect the growth of behavioral competence. Research on this subject benefits from contributions from many different disciplines, including neurobiology and genetics, as well as behavioral biology. There are further advantages. Behavioral studies offer the prospect of uncovering aspects of song development at three different levels. Besides an investigation of so-called developmental trajectories, including rules that describe the many transformations of a juvenile's vocal utterances, there are two kinds of reference patterns to which each vocalization can be compared; the stimulus patterns that a bird has experienced earlier, and the target songs that he finally performs as an adult. Learning to sing takes some time. Usually it begins when a young bird leaves the nest, and then continues for several months. It comes to an end only shortly before the bird establishes his own territory and flags its turf by singing. Although some species also learn new songs later in life, the first year of song development is crucial in all songbirds. Their many accomplishments can be subdivided into two major stages: the auditory phase of song memorization, and the motor phase of song development. The chapter treats the various aspects of learning to sing in some detail, keeping as a framework of typical biological concepts that are often used to explain the behavioral accomplishments of organisms, either as a consequence of evolutionary adaptation, or as mechanisms to solve a particular problem successfully.","In this article, the development of singing in birds ranks as a prime biological model for understanding how nature and nurture interact, and how they jointly affect the growth of behavioral competence, and there are two kinds of reference patterns to which each vocalization can be compared; stimulus patterns that a bird has experienced earlier and the target songs that he finally performs as an adult."
"Study 2 Raw Data from Early life manipulations of vasopressin-family peptides alter vocal learning","https://scispace.com/paper/study-2-raw-data-from-early-life-manipulations-of-4t8yhkxlse","2017","Dataset","","Nicole M. Baran
Samantha C. Peck
Tabitha H. Kim
Michael H. Goldstein
Elizabeth Adkins–Regan","10.6084/m9.figshare.5166487","","Vocal learning from social partners is crucial for the successful development of communication in a wide range of species. Social interactions organize attention and enhance motivation to learn species-typical behaviour. However, the neurobiological mechanisms connecting social motivation and vocal learning are unknown. Using zebra finches (<i>Taeniopygia guttata</i>), a ubiquitous model for vocal learning, we show that manipulations of non-apeptide hormones in the vasopressin family (arginine vasotocin (AVT)) early in development can promote or disrupt both song and social motivation. Young male zebra finches, like human infants, are socially gregarious and require interactive feedback from adult tutors to learn mature vocal forms. To investigate the role of social motivational mechanisms in song learning, in two studies, we injected hatchling males with AVT or Manning compound (MC, a non-apeptide receptor antagonist) on days 2–8 post-hatching and recorded song at maturity. In both studies, MC males produced a worse match to tutor song than controls. In Study 2, which experimentally controlled for tutor and genetic factors, AVT males also learned song significantly better compared with controls. Furthermore, song similarity correlated with several measures of social motivation throughout development. These findings provide the first evidence that non-apeptides are critical to the development of vocal learning. ","Early life manipulations of vasopressin-family peptides alter vocal learning in zebra finches."
"Song, sex and sensitive phases in the behavioural devebpment of birds.","https://scispace.com/paper/song-sex-and-sensitive-phases-in-the-behavioural-devebpment-1b9teyb0k7","1989","Journal Article","Trends in Ecology and Evolution","N.S. Clayton","10.1016/0169-5347(89)90156-0","","A number of parallels can be drawn between song learning and sexual imprinting, but how do the two processes interact during development? In zebra finches, the only species for which there are data on both song learning and sexual imprinting, an important difference between the two processes is that song learning usually occurs after the birds have sexually imprinted. Does sexual imprinting influence subsequent song tutor choice? Recent work comparing the song and sexual preferences of individual males suggests that a male does not necessarily choose a song tutor who is of the same species as he has sexually imprinted on.","In zebra finches, the only species for which there is data on both song learning and sexual imprinting, an important difference between the two processes is that song learning usually occurs after the birds have sexually imprinted."
"Zebra finches go wild! Experimental cultural evolution of birdsong","https://scispace.com/paper/zebra-finches-go-wild-experimental-cultural-evolution-of-hg9050x7kj","2020","Journal Article","Behaviour","Adriana Diez
Scott A. MacDougall-Shackleton","10.1163/1568539X-00003588","","Vocal learning in songbirds is guided by experience and experience-independent factors. Previously, lineages of zebra finches founded by isolate-reared tutors showed cultural evolution to wild-type song. This suggests that experience-independent biases affect song development even in the absence of wild-type song. We hypothesized that cultural evolution of song depends on both experience-independent biases and tutor songs available. We predicted that songs more distant from wild-type would take longer to culturally evolve toward wild-type features. We bred zebra finches in three groups of lineages in which offspring of each generation served as tutors for the next. Lineages were founded with males singing wild-type song, isolate song, or heterospecific song. The two experimental lineages exhibited rapid cultural evolution of song with many temporal and spectral features converging to wild-type within two generations. However the rate of change differed depending on song features measured, and took longer for lineages founded with heterospecific song.","Zebra finches founded by isolate-reared tutors exhibited rapid cultural evolution of song with many temporal and spectral features converging to wild-type within two generations, however the rate of change differed depending on song features measured, and took longer for lineages founded with heterospecific song."
"Decrystallization of adult birdsong by perturbation of auditory feedback","https://scispace.com/paper/decrystallization-of-adult-birdsong-by-perturbation-of-4x84aj1o5d","1999","Journal Article","Nature","Anthony Leonardo
Masakazu Konishi","10.1038/20933","","Young birds learn to sing by using auditory feedback to compare their own vocalizations to a memorized or innate song pattern; ifthey are deafened as juveniles, they will not develop normal songs. The completion of song development is called crystallization. After this stage, song shows little variation in its temporal or spectral properties. However, the mechanisms underlying this stability are largely unknown. Here we present evidence that auditory feedback is actively used in adulthood to maintain the stability of song structure. We found that perturbing auditory feedback during singing in adult zebra finches caused their songto deteriorate slowly. This 'decrystallization' consisted of a marked loss of the spectral and temporal stereotypy seen in crystallized song, including stuttering, creation, deletion and distortion ofsong syllables. After normal feedback was restored, these deviations gradually disappeared and the original song was recovered. Thus, adult birds that do not learn new songs nevertheless retain a significant amount of plasticity in the brain.","Evidence is presented that auditory feedback is actively used in adulthood to maintain the stability of song structure in adult zebra finches, and that adult birds that do not learn new songs nevertheless retain a significant amount of plasticity in the brain."
"Objective analysis of song learning in birds: Toward automated techniques.","https://scispace.com/paper/objective-analysis-of-song-learning-in-birds-toward-3fny7esbyj","1996","Journal Article","Journal of the Acoustical Society of America","S. E. Anderson
Cynthia A. Staicer
S. Inoue
Daniel Margoliash","10.1121/1.415808","","It is demonstrated that indigo buntings sing bouts of ‘‘adult plastic’’ songs (APS) distinct from stereotyped songs (SS). Some distinguishing characteristics of APS include syllables of variable morphology and syllables not present in SS. The hypothesis that APS may play a role in adult song learning is tested by monitoring socially paired males housed together. Some yearlings changed their SS to more closely match their tutors’ SS, by replacing syllables or inserting new syllables. New syllables were developed in APS through transformation and combination of morphologically similar existing syllables, and syllables were transferred from APS into SS. To address the limitations of manual scoring of spectrographs, dynamic time warping (DTW) for template‐based automated analysis of continuous recordings of birdsongs was evaluated. With laboratory recordings, the DTW algorithm employed identified syllables and syllable boundaries of SS and calls of indigo bunting and zebra finch with greater than 97% accuracy. APS constituents were identified with approximately 84% accuracy. Under these restricted recording conditions, DTW has general applicability to objective analysis of birdsongs, and dramatically decreases the effort required. Application of hybrid hidden Markov models may improve the performance for variable vocalizations such as APS, and under noisy conditions of field recordings.","In this paper, it was demonstrated that indigo buntings sing bouts of ""adult plastic"" songs (APS) distinct from stereotyped songs (SS) and some distinguishing characteristics of APS include syllables of variable morphology and syllables not present in SS."
"Differential influence of frequency, timing, and intensity cues in a complex acoustic categorization task.","https://scispace.com/paper/differential-influence-of-frequency-timing-and-intensity-1i2o76onpu","2010","Journal Article","Journal of Neurophysiology","Katherine I. Nagel
Helen McLendon
Allison J. Doupe","10.1152/JN.00028.2010","","Songbirds, which, like humans, learn complex vocalizations, provide an excellent model for the study of acoustic pattern recognition. Here we examined the role of three basic acoustic parameters in an ethologically relevant categorization task. Female zebra finches were first trained to classify songs as belonging to one of two males and then asked whether they could generalize this knowledge to songs systematically altered with respect to frequency, timing, or intensity. Birds' performance on song categorization fell off rapidly when songs were altered in frequency or intensity, but they generalized well to songs that were changed in duration by >25%. Birds were not deaf to timing changes, however; they detected these tempo alterations when asked to discriminate between the same song played back at two different speeds. In addition, when birds were retrained with songs at many intensities, they could correctly categorize songs over a wide range of volumes. Thus although they can detect all these cues, birds attend less to tempo than to frequency or intensity cues during song categorization. These results are unexpected for several reasons: zebra finches normally encounter a wide range of song volumes but most failed to generalize across volumes in this task; males produce only slight variations in tempo, but females generalized widely over changes in song duration; and all three acoustic parameters are critical for auditory neurons. Thus behavioral data place surprising constraints on the relationship between previous experience, behavioral task, neural responses, and perception. We discuss implications for models of auditory pattern recognition.","Behavioral data place surprising constraints on the relationship between previous experience, behavioral task, neural responses, and perception, and all three acoustic parameters are critical for auditory neurons."
