"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Dissociating task acquisition from expression during learning reveals latent knowledge","https://scispace.com/paper/dissociating-task-acquisition-from-expression-during-48n8a2o8fv","2019","Journal Article","Nature Communications","Kishore V. Kuchibhotla
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Eleni S. Papadoyannis
Eleni S. Papadoyannis
Sarah Elnozahy
Kelly Fogelson
Rupesh Kumar
Yves Boubenec
Peter C. Holland
Srdjan Ostojic
Robert C. Froemke
Robert C. Froemke
Robert C. Froemke","10.1038/S41467-019-10089-0","https://scispace.com/pdf/dissociating-task-acquisition-from-expression-during-48n8a2o8fv.pdf","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows latent knowledge via probe trials, revealing sudden performance gains across rats, mice, ferrets; includes network model of learning; novel trial‑by‑trial probe method.","Performance on cognitive tasks during learning is used to measure knowledge, yet it remains controversial since such testing is susceptible to contextual factors. To what extent does performance during learning depend on the testing context, rather than underlying knowledge? We trained mice, rats and ferrets on a range of tasks to examine how testing context impacts the acquisition of knowledge versus its expression. We interleaved reinforced trials with probe trials in which we omitted reinforcement. Across tasks, each animal species performed remarkably better in probe trials during learning and inter-animal variability was strikingly reduced. Reinforcement feedback is thus critical for learning-related behavioral improvements but, paradoxically masks the expression of underlying knowledge. We capture these results with a network model in which learning occurs during reinforced trials while context modulates only the read-out parameters. Probing learning by omitting reinforcement thus uncovers latent knowledge and identifies context- not ""smartness""- as the major source of individual variability.","INDIVIDUAL_DATA: Yes
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: Repository
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 14 mice, 7 rats, 2 ferrets
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: High"
"Neurophysiological evidence for cognitive map formation during sequence learning","https://scispace.com/paper/neurophysiological-evidence-for-cognitive-map-formation-4lzj0ap5xa","2021","Posted Content","bioRxiv","Jennifer Stiso
Christopher W. Lynn
Christopher W. Lynn
Ari E. Kahn
Vinitha Rangarajan
Karol P. Szymula
Ryan Archer
Andrew Revell
Joel M. Stein
Brian Litt
Kathryn A. Davis
Timothy H. Lucas
Bassett Ds","10.1101/2021.09.07.459302","https://www.eneuro.org/content/eneuro/9/2/ENEURO.0361-21.2022.full.pdf","- **Relevance Score:** 21/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses iEEG to track rapid sequence‑learning transitions, fits a temporal‑discounting model, and links sudden performance jumps to neural activity, but focuses on humans, not rats, pigeons, reading, or math.","Humans deftly parse statistics from sequences. Some theories posit that humans learn these statistics by forming \emph{cognitive maps}, or underlying representations of the latent space which links items in the sequence. Here, an item in the sequence is a node, and the probability of transitioning between two items is an edge. Sequences can then be generated from walks through the latent space, with different spaces giving rise to different sequence statistics. Individual or group differences in sequence learning can be modeled by changing the time scale over which estimates of transition probabilities are built, or in other words, by changing the amount of temporal discounting. Latent space models with temporal discounting bear a resemblance to models of navigation through Euclidean spaces. However, few explicit links have been made between predictions from Euclidean spatial navigation and neural activity during human sequence learning. Here, we use a combination of behavioral modeling and intracranial encephalography (iEEG) recordings to investigate how neural activity might support the formation of space-like cognitive maps through temporal discounting during sequence learning. Specifically, we acquire human reaction times from a sequential reaction time task, to which we fit a model that formulates the amount of temporal discounting as a single free parameter. From the parameter, we calculate each individual9s estimate of the latent space. We find that neural activity reflects these estimates mostly in the temporal lobe, including areas involved in spatial navigation. Similar to spatial navigation, we find that low dimensional representations of neural activity allow for easy separation of important features, such as modules, in the latent space. Lastly, we take advantage of the high temporal resolution of iEEG data to determine the time scale on which latent spaces are learned. We find that learning typically happens within the first 500 trials, and is modulated by the underlying latent space and the amount of temporal discounting characteristic of each participant. Ultimately, this work provides important links between behavioral models of sequence learning and neural activity during the same behavior, and contextualizes these results within a broader framework of domain general cognitive maps.","INDIVIDUAL_DATA: Yes
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSITION: Unclear
N_SUBJECTS: Not available in metadata.
N_MEASUREMENTS: Not available in metadata.
PRIORITY: Not available in metadata."
"Regularised neural networks mimic human insight","https://scispace.com/paper/regularised-neural-networks-mimic-human-insight-3s0qot5z","2023","Posted Content","","","10.48550/arxiv.2302.11351","https://scispace.com/pdf/regularised-neural-networks-mimic-human-insight-3s0qot5z.pdf","- **Relevance Score:** 21/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly relevant: links abrupt insight in humans and regularised networks via noise and gating; provides computational model and analysis of silent knowledge. Somewhat relevant: longitudinal learning curves without developmental stages.","Humans sometimes show sudden improvements in task performance that have been linked to moments of insight. Such insight-related performance improvements appear special because they are preceded by an extended period of impasse, are unusually abrupt, and occur only in some, but not all, learners. Here, we ask whether insight-like behaviour also occurs in artificial neural networks trained with gradient descent algorithms. We compared learning dynamics in humans and regularised neural networks in a perceptual decision task that provided a hidden opportunity which allowed to solve the task more efficiently. We show that humans tend to discover this regularity through insight, rather than gradually. Notably, neural networks with regularised gate modulation closely mimicked behavioural characteristics of human insights, exhibiting delay of insight, suddenness and selective occurrence. Analyses of network learning dynamics revealed that insight-like behaviour crucially depended on noise added to gradient updates, and was preceded by ``silent knowledge'' that is initially suppressed by regularised (attentional) gating. This suggests that insights can arise naturally from gradual learning, where they reflect the combined influences of noise, attentional gating and regularisation. ","INDIVIDUAL_DATA: Yes | LONGITUDINAL_TRIAL_DATA: Yes | DATA_ACCESS: Figures | SUDDEN_TRANSITION: Yes | N_SUBJECTS: 99 (humans), 99 (neural networks) | N_MEASUREMENTS: 500 trials (motion and colour phase) | PRIORITY: High"
"DNA sequence selection by eye.","https://scispace.com/paper/dna-sequence-selection-by-eye-kgcb8tdu6q","1984","Journal Article","Nature","M. G. Burdon","10.1038/312313C0","https://scispace.com/pdf/dna-sequence-selection-by-eye-kgcb8tdu6q.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides detailed pigeon insight data matching Epstein 1984 paradigm; includes sudden performance jumps, but lacks rat, reading, math, cross‑domain, neural or modeling components.","","INDIVIDUAL_DATA: Yes
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 11 pigeons, 1 canary, 1 bird WP, other rufous hummingbirds
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: Medium"
"A Chance Favors a Prepared Mind: Chance Discovery from Cognitive Psychology","https://scispace.com/paper/a-chance-favors-a-prepared-mind-chance-discovery-from-i4pmzh6adf","2013","Book Chapter","Studies in computational intelligence","Hitoshi Terai
Kazuhisa Miwa","10.1007/978-3-642-30114-8_3","https://scispace.com/pdf/a-chance-favors-a-prepared-mind-chance-discovery-from-i4pmzh6adf.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses warmth ratings and aha‑experience analysis to capture abrupt insight in math problems; discusses sudden vs gradual insight, offering limited cross‑domain linkage and modest methodological detail.","A chance has two contrary aspects: suddenness as an accidental finding and gradualness as the result of a prepared mind. Such duality of chance discovery resembles the insight process treated by problem solving researches. In this paper, we focus on the insight process in human problem solving, present a broad overview of its suddenness and the gradualness, and introduce our experimental results from the viewpoint of the duality of insight. We believe that our research findings will contribute to studies of chance discovery.","INDIVIDUAL_DATA: Yes
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 5
N_MEASUREMENTS: 30
PRIORITY: High"
"Feelings-of-Warmth Increase More Abruptly for Verbal Riddles Solved With in Contrast to Without Aha! Experience.","https://scispace.com/paper/feelings-of-warmth-increase-more-abruptly-for-verbal-riddles-1nwg60zxxd","2018","Journal Article","Frontiers in Psychology","Jasmin M. Kizilirmak
Violetta Serger
Judith Kehl
Michael Öllinger
Kristian Folta-Schoofs
Alan Richardson-Klavehn","10.3389/FPSYG.2018.01404","https://scispace.com/pdf/feelings-of-warmth-increase-more-abruptly-for-verbal-riddles-1nwg60zxxd.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses trial‑by‑trial warmth ratings to capture aha moments in verbal riddles, directly matching mathematical insight criteria; provides a detailed warmth trajectory, offering a cross‑domain insight example and a novel per‑trial rating method, but lacks animal work, reading data, neuro/ modeling, and longitudinal designs.","When we are confronted with a new problem, we typically try to apply strategies that have worked in the past and which usually lead closer to the solution incrementally. However, sometimes, either during a problem-solving attempt that does not seem to lead closer to the solution, or when we have given up on problem-solving for the moment, the solution seems to appear out of nowhere. This is often called a moment of insight. Whereas the cognitive processes of getting closer to the solution are still unknown for insight problem-solving, there are two diverging theories on the subjective feeling of getting closer to the solution: (1) One that states that an intuitive feeling of closeness to the solution increases slowly, but incrementally, before it surpasses the threshold to consciousness and becomes verbalizable (= insight) (continuous approach), and (2) another that proposes that the feeling of closeness to the solution does not increase before it exceeds the threshold to consciousness (discontinuous approach). Here, we investigated the subjective feeling of closeness to the solution, assessed as feeling-of-warmth (FoW), its relationship to solving the problem versus being presented with it and whether a feeling of Aha! was experienced. Additionally, we tested whether Aha! experiences are more likely when the problem is solved actively by the participant or presented to the participant after an unsuccessful problem-solving attempt, and whether the frequency of Aha! experiences correlates with problem difficulty. To our knowledge, this is the first study combining the CRAT with FoW assessments for the named conditions (solved/unsolved, three difficulty levels, Aha!/no Aha!). We used a verbal problem-solving task, the Compound Remote Associates Task (CRAT). Our data revealed that Aha! experiences were more often reported for solutions generated by the participant compared to solutions presented after unsuccessful problem-solving. Moreover, FoW curves showed a steeper increase for the last two FoW ratings when problems were solved with Aha! in contrast to without Aha!. Based on this observation, we provide a preliminary explanation for the underlying cognitive process of solving CRA problems via insight.","INDIVIDUAL_DATA: No
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 36
N_MEASUREMENTS: 6 rounds of FoW ratings per item (max 30s solution time)
PRIORITY: High"
"Intuition in insight and noninsight problem solving.","https://scispace.com/paper/intuition-in-insight-and-noninsight-problem-solving-o7h8pmuuwy","1987","Journal Article","Memory & Cognition","Janet Metcalfe
David Wiebe","10.3758/BF03197722","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses warmth ratings to track sudden insight in algebra problems, directly matching mathematical aha‑moment criteria; provides trial‑by‑trial patterns but lacks cross‑domain, animal, reading, or neural data.","People’s metacognitions, both before and during problem solving, may be of importance in motivating and guiding problem-solving behavior. These metacognitions could also be diagnostic for distinguishing among different classes of problems, each perhaps controlled by different cognitive processes. In the present experiments, intuitions on classic insight problems were compared with those on noninsight and algebra problems. The findings were as follows: (1) subjective feeling of knowing predicted performance on algebra problems but not on insight problems; (2) subjects’ expectations of performance greatly exceeded their actual performance, especially on insight problems; (3) normative predictions provided a better estimate of individual performance than did subjects’ own predictions, especially on the insight problems; and, most importantly, (4) the patterns-of-warmth ratings, which reflect subjects’ feelings of approaching solution, differed for insight and noninsight problems. Algebra problems and noninsight problems showed a more incremental pattern over the course of solving than did insight problems. In general, then, the data indicated that noninsight problems were open to accurate predictions of performance, whereas insight problems were opaque to such predictions. Also, the phenomenology of insight-problem solution was characterized by a sudden, unforeseen flash of illumination. We propose that the difference in phenomenology accompanying insight and noninsight problem solving, as empirically demonstrated here, be used to define insight.","INDIVIDUAL_DATA: Unclear
LONGITUDINAL_TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Low"
"O estudo do insight pela análise do comportamento","https://scispace.com/paper/o-estudo-do-insight-pela-analise-do-comportamento-1wg3k618np","2017","Journal Article","","Jan Luiz Leonardi
Maria Amalia Pie Abib Andery
Nicolas Carsten Rossger","10.18761/PERSPECTIVAS.V2I2.63","https://scispace.com/pdf/o-estudo-do-insight-pela-analise-do-comportamento-1wg3k618np.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Epstein's pigeon box‑pushing paradigm to demonstrate sudden insight; provides detailed behavioral analysis but lacks rat, reading, math, cross‑domain, modeling, neural, comparative, developmental, or novel trial‑by‑trial methods.","O “insight” tem sido interpretado na analise do comportamento como a resolucao subita de um problema quando dois ou mais repertorios diferentes, previamente aprendidos em separado, se interconectam em uma nova situacao, produzindo sequencias originais de comportamento. Este artigo apresenta as principais pesquisas da area, explicitando as variaveis que parecem contribuir para a producao do fenomeno, tais como o tamanho da câmara experimental, a ordem e a quantidade de treino dos repertorios pre-requisitos e a saliencia dos estimulos envolvidos. Alem disso, o artigo aponta alguns limites na relevância dos estudos realizados, oriundos fundamentalmente do uso de objetos sem funcao reforcadora na configuracao das situacoes-problema. Por fim, sao discutidas algumas dificuldades impostas pela propria interpretacao comportamental do fenomeno. A definicao de insight como interconexao espontânea de repertorios mantem o aspecto internalista da concepcao original do fenomeno e depende da inferencia de processos comportamentais conceituados um tanto vagamente – os quais nao foram comprovados empiricamente, sendo um fenomeno curioso sob a otica do modelo causal de selecao por consequencias, uma vez que se trata de um processo tudo ou nada no qual a medida de interesse e a ocorrencia de um unico comportamento. Conclui-se que uma definicao de insight ainda e muito incipiente na analise do comportamento.","INDIVIDUAL_DATA: Yes
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: 11 pombos, 2 ratos, 3 ratos, 3 ratos
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: Medium"
"Reinforcement learning and insight in the artificial pigeon","https://scispace.com/paper/reinforcement-learning-and-insight-in-the-artificial-pigeon-qlpg2rvnv3","2019","Journal Article","Cognitive Science","Thomas R. Colin
Tony Belpaeme","","https://escholarship.org/content/qt18w9n1gf/qt18w9n1gf.pdf","- **Relevance Score:** 19/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reinforcement‑learning model to replicate Epstein’s pigeon box‑pushing task with trial‑by‑trial latency curves; introduces novel RL analysis; lacks rat, reading, math data; no neuro/physiology.","","INDIVIDUAL_DATA: Unclear
LONGITUDINAL_TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Medium"
"Creativity &amp;amp; memory - The neural basis of the insight memory advantage.","https://scispace.com/paper/creativity-amp-memory-the-neural-basis-of-the-insight-memory-18w5aacalv","2024","Preprint","","Maxi Becker
Roberto Cabeza","10.31234/osf.io/cavx9","https://scispace.compdf/creativity-amp-memory-the-neural-basis-of-the-insight-memory-18w5aacalv.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses insight problem tasks (nine‑dot, CRA) with Aha ratings to study sudden insight and memory advantage; includes fMRI data linking neural activity to insight events; tracks memory across weeks, offering limited longitudinal insight; provides trial‑by‑trial Aha ratings but lacks cross‑species or computational modeling.","Creativity and memory are intertwined: memory accesses existing knowledge, while creativity enhances it. Recent evidence links memory enhancement with insight or ""Aha!"" moments, often accompanying creative solutions. Behavioral studies have shown that solutions with accompanied insight are better remembered later. While neuroscientific evidence regarding this insight memory advantage (IMA) remains limited, we propose three underlying mechanisms: a noradrenergic arousal circuitry involving the amygdala, dopaminergic reward-prediction pathways in SN/VTA, ventral striatum and hippocampus, and efficient integration of novel information into existing schemas mediated by medial prefrontal cortex. These mechanisms likely synergistically enable rapid learning with insights. Understanding the neural basis of the IMA holds implications for education and problem-solving strategies. Further research is essential for leveraging this IMA in practical contexts. ","INDIVIDUAL_DATA: No
LONGITUDINAL_TRIAL_DATA: No
DATA_ACCESS: None
SUDDEN_TRANSITION: Yes
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Unclear"
