"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Learning Maps to Navigate Space","https://scispace.com/paper/learning-maps-to-navigate-space-db4wjrapoyfd","","","","Stephen  Grossberg","10.1093/oso/9780190070557.003.0016","","This chapter explains how humans and other animals learn to learn to navigate in space. Both reaching and route-based navigation use difference vector computations. Route navigation learns a labeled graph of angles and distances moved. Spatial navigation requires neurons to learn navigable spaces that can be many meters in size. This is again accomplished by a spectrum of cells. Such spectral spacing supports learning of medial entorhinal grid cells and hippocampal place cells. The model responds to realistic rat navigational trajectories by learning grid cells with hexagonal grid firing fields of multiple spatial scales, and place cells with one or more firing fields, that match neurophysiological data about their development in juvenile rats. Both grid and place cells develop in a hierarchy of self-organizing maps by detecting, learning and remembering the most frequent and energetic co-occurrences of their inputs. Model parsimonious properties include: similar ring attractor mechanisms process linear and angular path integration inputs that drive map learning; the same self-organizing map mechanisms can learn both grid cell and place cell receptive fields; and the learning of the dorsoventral organization of multiple grid cell modules through medial entorhinal cortex to hippocampus uses a gradient of rates that is homologous to a rate gradient that drives adaptively timed learning at multiple rates through lateral entorhinal cortex to hippocampus (‘neural relativity’). The model clarifies how top-down hippocampal-to-entorhinal ART attentional mechanisms stabilize map learning, simulates how hippocampal, septal, or acetylcholine inactivation disrupts grid cells, and explains data about theta, beta and gamma oscillations.","This chapter explores how humans and animals learn to navigate space, proposing a model that explains the development of grid and place cells through self-organizing maps, and clarifies the role of top-down attentional mechanisms in map learning."
"The role of local, distal, and global information in latent spatial learning","https://scispace.com/paper/the-role-of-local-distal-and-global-information-in-latent-1d7755szoa","2014","Journal Article","Journal of experimental psychology. Animal learning and cognition","Kerry E. Gilroy
John M. Pearce","10.1037/XAN0000017","","In 4 experiments that investigated latent spatial learning, rats were repeatedly placed on a submerged platform in a corner of a square swimming pool with walls of different brightness. When they were subsequently released into the pool for a test trial in the absence of the platform, they spent the majority of time in the corner used for placement training—the correct corner. This effect was observed in Experiment 1, even when the test trial took place in a transformed version of the training arena. Experiments 2 and 3 indicated that the correct corner was identified by local cues based on the walls creating the corner. Experiment 4 demonstrated that distal cues created by the two walls that did not surround the platform during placement training could also be used to identify the correct corner. There was no evidence of learning about the relationship between global cues provided by the entire arena and the goal. The absence of the opportunity to develop instrumental, stimulus–response associations during placement training indicates that stimulus–stimulus associations acquired during this training were sufficient to guide rats to the platform when they were eventually released into the pool.","The absence of the opportunity to develop instrumental, stimulus–response associations during placement training indicates that stimulus–stimulus associations acquired during this training were sufficient to guide rats to the platform when they were eventually released into the pool."
"Scale Space Calibrates Present and Subsequent Spatial Learning in Barnes Maze in Mice","https://scispace.com/paper/scale-space-calibrates-present-and-subsequent-spatial-apfzvgcc","2022","Journal Article","ENeuro","Yuto Tachiki
Yusuke Suzuki
Mutsumi Kurahashi
Keisuke Oki
Özgün Mavuk
Takuma Nakagawa
Shogo Ishihara
Yuichiro Gyoten
Akira Yamamoto
Itaru Imayoshi","10.1523/ENEURO.0505-22.2023","","Abstract Animals are capable of representing different scale spaces from smaller to larger ones. However, most laboratory animals live their life in a narrow range of scale spaces like homecages and experimental setups, making it hard to extrapolate the spatial representation and learning process in large scale spaces from those in conventional scale spaces. Here, we developed a 3-m diameter Barnes maze (BM3), then explored whether spatial learning in the Barnes maze (BM) is calibrated by scale spaces. Spatial learning in the BM3 was successfully established with a lower learning rate than that in a conventional 1-m diameter Barnes maze (BM1). Specifically, analysis of exploration strategies revealed that the mice in the BM3 persistently searched certain places throughout the learning, while such places were rapidly decreased in the BM1. These results suggest dedicated exploration strategies requiring more trial-and-errors and computational resources in the BM3 than in the BM1, leading to a divergence of spatial learning between the BM1 and the BM3. We then explored whether prior learning in one BM scale calibrates subsequent spatial learning in another BM scale, and found asymmetric facilitation such that the prior learning in the BM3 facilitated the subsequent BM1 learning, but not vice versa. Thus, scale space calibrates both the present and subsequent BM learning. This is the first study to demonstrate scale-dependent spatial learning in BM in mice. The couple of the BM1 and the BM3 would be a suitable system to seek how animals represent different scale spaces with underlying neural implementation.","In this paper , the authors developed a 3-m diameter Barnes maze (BM3) and explored whether spatial learning in the BM3 is calibrated by scale spaces, and found that mice in BM3 persistently searched certain places throughout the learning, while such places were rapidly decreased in BM1."
"Flexible Path Planning through Vicarious Trial and Error","https://scispace.com/paper/flexible-path-planning-through-vicarious-trial-and-error-4dla2vpczk","2021","Posted Content","bioRxiv","Jeffrey L. Krichmar
Nicholas A. Ketz
Praveen K. Pilly
Andrea Soltoggio","10.1101/2021.09.08.459317","","Flexible planning is necessary for reaching goals and adapting when conditions change. We introduce a biologically plausible path planning model that learns its environment, rapidly adapts to change, and plans efficient routes to goals. Unlike prior models of hippocamapl replay, our model addresses the decision-making process when faced with uncertainty. We tested the model in simulations of human and rodent navigation in mazes. Like the human and rat, the model was able to generate novel shortcuts, and take detours when familiar routes were blocked. Similar to rodent hippocampus recordings, the neural activity of the model resembles neural correlates of Vicarious Trial and Error (VTE) during early learning or during uncertain conditions. Similar to rodent studies, after learning, the neural activity resembles forward replay or preplay predicting a future route, and VTE activity decreases. We suggest that VTE, in addition to weighing possible outcomes, is a way in which an organism may gather information for future use.","In this article, a biologically plausible path planning model that learns its environment, rapidly adapts to change, and plans efficient routes to goals is introduced, which addresses the decision-making process when faced with uncertainty."
"eLife assessment: Stochastic characterization of navigation strategies in an automated variant of the Barnes maze","https://scispace.com/paper/elife-assessment-stochastic-characterization-of-navigation-2uj8l5l10v","2024","Peer Review","","Adrien Peyrache","10.7554/elife.88648.3.sa3","","Animals can use a repertoire of strategies to navigate in an environment, and it remains an intriguing question how these strategies are selected based on the nature and familiarity of environments.To investigate this question, we developed a fully automated variant of the Barnes maze, characterized by 24 vestibules distributed along the periphery of a circular arena, and monitored the trajectories of mice over 15 days as they learned to navigate towards a goal vestibule from a random start vestibule.We show that the patterns of vestibule visits can be reproduced by the combination of three stochastic processes reminiscent of random, serial and spatial strategies.The processes randomly selected vestibules based on either uniform (random) or biased (serial and spatial) probability distributions.They closely matched experimental data across a range of statistical distributions characterizing the length, distribution, step size, direction, and stereotypy of vestibule sequences, revealing a shift from random to spatial and serial strategies over time, with a strategy switch occurring approximately every six vestibule visits.Our study provides a novel apparatus and analysis toolset for tracking the repertoire of navigation strategies and demonstrates that a set of stochastic processes can largely account for exploration patterns in the Barnes maze. eLife assessmentThis study presents a valuable new behavioral apparatus aimed at differentiating the strategies animals use to orient themselves in an environment.The evidence supporting the claims is solid, with statistical modeling of animal behavior.Overall, this study will attract the interest of researchers exploring spatial learning and memory. ","The navigation strategies used by mice in the Barnes maze can be characterized by a combination of stochastic processes that include random, serial and spatial strategies."
"Mice learn multi-step routes by memorizing subgoal locations.","https://scispace.com/paper/mice-learn-multi-step-routes-by-memorizing-subgoal-locations-199r9uh3a9","2021","Journal Article","Nature Neuroscience","Philip Shamash
Sarah F. Olesen
Panagiota Iordanidou
Dario Campagner
Nabhojit Banerjee
Tiago Branco","10.1038/S41593-021-00884-8","","The behavioral strategies that mammals use to learn multi-step routes are unknown. In this study, we investigated how mice navigate to shelter in response to threats when the direct path is blocked. Initially, they fled toward the shelter and negotiated obstacles using sensory cues. Within 20 min, they spontaneously adopted a subgoal strategy, initiating escapes by running directly to the obstacle's edge. Mice continued to escape in this manner even after the obstacle had been removed, indicating use of spatial memory. However, standard models of spatial learning-habitual movement repetition and internal map building-did not explain how subgoal memories formed. Instead, mice used a hybrid approach: memorizing salient locations encountered during spontaneous 'practice runs' to the shelter. This strategy was also used during a geometrically identical food-seeking task. These results suggest that subgoal memorization is a fundamental strategy by which rodents learn efficient multi-step routes in new environments.","In this article, the authors investigated how mice navigate to shelter in response to threats when the direct path is blocked, and found that mice used a hybrid approach: memorizing salient locations encountered during spontaneous 'practice runs' to the shelter."
"Latent place learning in a novel environment and the influences of prior training in rats","https://scispace.com/paper/latent-place-learning-in-a-novel-environment-and-the-rub4u2hcmn","1988","Journal Article","Psychobiology","Julian R. Keith
Katherine M. McVety","10.3758/BF03333116","","Latent place learning in a novel environment was studied in rats, using a variation on the Morris (1981) water task. Groups of rats received 30 trials over 3 days in a training environment in which they learned to swim to an escape platform, were permitted to swim around the maze with no platform, or were placed on the platform by the experimenter. In a subsequent test, groups that had learned to swim to the escape platform during initial training were quicker to locate the platform in a novel environment after viewing the room from the location of the escape platform than were similarly pretrained subjects that were not allowed to view the room from the platform. Groups that were not trained to swim to the platform but received training on other procedural aspects of the task in the first environment did not benefit from standing on the escape platform in the novel environment. These results show that animals that are familiar with the requirements of the water maze task can generate accurate trajectories through a novel area based on information obtained while viewing the environment from the goal location.","The results show that animals that are familiar with the requirements of the water maze task can generate accurate trajectories through a novel area based on information obtained while viewing the environment from the goal location."
"Latent learning and the formation of a spatiotemporal cognitive map of a road network","https://scispace.com/paper/latent-learning-and-the-formation-of-a-spatiotemporal-4ws19ucf7u","2019","Journal Article","Travel behaviour and society","Navid Khademi
Ramin Saedi","10.1016/J.TBS.2018.09.003","","This paper discusses two main themes. First, it investigates the formation of a spatiotemporal cognitive map (mental image) of a road network in travelers’ memory, which entails the travelers’ global conceptual understanding of congestion or the degree of crowding of the network. Second, it tries to investigate how latent learning of travelers from previous experiences shapes parts of the mental image, even for the parts of the network with which the travelers are unfamiliar. An experiment of route choice experiences was conducted among 90 participants in order to gain insight into the formation of a cognitive map and latent learning. In this experiment, the following independent variables are connected to the formation of a mental image of the network and the quality of the generalization of the unfamiliar parts of the network: (i) dispersion of the links’ travel time throughout the network, (ii) number of trips the traveler makes, (iii) traveler’s gender, (iv) traveler’s driving experiences, (v) traveler’s natural level of optimism or pessimism, (vi) salient or noticeable features on the network, and (vii) the presence of traffic signals. Several nonparametric (distribution-free) tests are employed to test the hypotheses. The results indicate that apart from the traveler’s gender and salient or noticeable features on the network, the considered factors significantly affect the degree of the recognizability of the network elements by travelers.","The results indicate that apart from the travelers gender and salient or noticeable features on the network, the considered factors significantly affect the degree of the recognizability of the network elements by travelers."
"How do animals actually solve the T maze","https://scispace.com/paper/how-do-animals-actually-solve-the-t-maze-4sz8i6qhs4","2001","Journal Article","Behavioral Neuroscience","Paul A. Dudchenko","10.1037/0735-7044.115.4.850","","Rats were trained on a reinforced, delayed alternation T-maze task in the presence (cue group) or absence (no-cue group) of salient extramaze landmarks. A surprising finding was that the acquisition and memory performance of the 2 groups did not differ. Manipulations of the extramaze landmarks for the cue group suggested that, although landmarks were used to guide behavior, other sources of information were also used normally. The no-cue group was able to perform the task at above-chance levels even when extramaze, intramaze, and inertial sources of orientation were manipulated. These results suggest that memory performance on the T maze does not rely exclusively on the processing of allocentric spatial relationships in the maze environment.","The results suggest that memory performance on the T maze does not rely exclusively on the processing of allocentric spatial relationships in the maze environment."
"Looking beyond the boundaries: Time to put landmarks back on the cognitive map?","https://scispace.com/paper/looking-beyond-the-boundaries-time-to-put-landmarks-back-on-rqgouglpwv","2011","Journal Article","Psychological Bulletin","Adina R. Lew","10.1037/A0022315","","Since the proposal of Tolman (1948) that mammals form maplike representations of familiar environments, cognitive map theory has been at the core of debates on the fundamental mechanisms of animal learning and memory. Traditional formulations of cognitive map theory emphasize relations between landmarks and between landmarks and goal locations as the basis of the map. More recently, several models of spatial coding have taken the boundaries of an environment as the basis of the cognitive map, with landmark relations being processed through alternative, operant learning mechanisms. In this review, the evidence for this proposed dichotomy is analyzed. It is suggested that 2 factors repeatedly confound efforts to compare spatial coding based on landmark arrays, formed by 2 or more landmarks, and that based on the boundaries of an environment. The factors are the perceived stability of the landmark arrays and their placement relative to the larger environment. Although the effects of landmark stability and of placement on spatial navigation have been studied extensively, the implications of this work for debates concerning the role of boundaries in cognitive map formation have not been fully realized. It is argued that when these 2 factors are equated between landmark arrays and bounded environments, current evidence supports a commonality of spatial coding mechanism rather than a dichotomy. The analysis places further doubt on the existence of a dedicated geometric module for reorientation and is consistent with models of navigation containing mapping and operant learning components, both taking as input local views (Sheynikhovich et al., 2009).","It is suggested that 2 factors repeatedly confound efforts to compare spatial coding based on landmark arrays, formed by 2 or more landmarks, and that based on the boundaries of an environment, rather than a dichotomy is needed."
